As,Cd,Cr,Cu,Fe,Mn,Ni,Pb,Zn,Hg,Co,Al,Se,Sb,Ba,V,sample_id,lat,long,HPI
22.726,37.521,232.542,134.029,169.534,176.803,86.232,67.728,220.119,69.051,138.805,27.777,96.787,201.472,16.427,36.597,Garudeshwar,21.89,73.65,79.28
8.661,5.937,0.625,6.001,7.177,10.251,6.045,2.553,2.405,3.725,11.583,10.747,5.602,7.465,7.311,9.995,MOTINAROLI,21.23777778,72.96333333,5
67.603,84.574,4.401,62.44,13.981,11.423,21.233,17.469,48.329,33.357,81.098,54.935,38.778,56.396,5.615,43.998,CHANWADA,22.05,73.46527778,45.5
65.603,81.604,26.63,17.186,39.216,62.085,60.31,67.078,58.857,72.831,18.567,62.336,55.044,41.934,73.914,27.299,Khanpur,22.535,73.14027778,67.64
5.473,0.479,5.641,22.11,8.293,4.625,17.421,20.874,15.479,3.273,19.014,22.359,16.514,0.724,2.41,19.159,Shetrunji at Lowara,21.44398,71.56131472,5
50.222,28.82,15.932,35.436,17.253,3.291,9.17,20.731,44.013,22.261,9.031,0.43,51.127,6.411,0.841,27.549,Narmada at Garudeshwar,21.88333333,73.65,23.93
1.036,6.806,5.553,7.354,13.351,6.321,1.061,8.403,6.65,4.153,12.742,0.888,5.624,6.274,9.76,4.309,Derol Bridge,23.57527778,72.80638889,5
38.464,6.007,44.332,65.038,8.973,37.319,15.212,12.854,20.468,51.423,45.149,44.67,24.639,0.972,6.546,22.388,Vautha,22.65027778,72.535,33.04
4.134,3.576,6.891,6.605,3.548,3.884,1.834,3.408,0.514,5.451,0.432,7.319,5.703,6.952,2.64,6.445,GADAT,20.85611111,72.98472222,5
20.304,174.275,9.709,87.484,117.729,114.083,58.88,169.482,92.701,55.131,20.384,151.879,1.802,131.541,105.505,111.433,Chitrasani -Duplicate,24.28888889,72.49833333,85.02
0.253,2.584,35.96,15.618,37.979,48.969,40.571,13.191,28.487,48.574,29.603,3.955,35.959,14.65,30.204,59.705,VAPI,20.37,72.88,31.84
9.108,62.195,24.168,56.451,23.13,64.552,27.494,60.518,15.251,54.66,43.881,9.591,8.654,44.65,53.042,53.667,Kamalpur,23.80833333,71.74416667,49.31
