sample_id,lat,long,as,cd,cr,cr+6,pb,hg,ni,cu,zn,fe,mn,co,al,se,sb,ba,v
Garudeshwar,21.89,73.65,0.001985453,0.000454476,0.000865592,0.007239621,0.000632349,0.000180804,0.002598202,0.19671098,1.07354865,0.067435148,0.009898971,0,0.031008227,0.001243563,0.000264961,0.061799301,0.000352417
MOTINAROLI,21.23777778,72.96333333,0.005795808,0.001859458,0.023709697,0.017170202,0.00399315,0.000502208,0.009330834,0.8115337,1.495499488,0.116812906,0.053219905,0.030161202,0.108441332,0.007135449,0.002832242,0.298820912,0.025584039
CHANWADA,22.05,73.46527778,0.001198146,0.000155281,0,0.008776946,0.001781479,0.000218589,0.002506038,0.003780124,0,0.016752079,0.007364224,0.006650386,0.031631618,0.002222409,0.000807842,0.054324873,0.001423866
Khanpur,22.535,73.14027778,0.005700464,0.001977962,0.020781175,0.035851764,0.005179624,0.000493166,0.01051227,0.937751302,1.224112206,0.162347465,0.050299278,0.035148275,0.099342524,0.006597107,0.002109049,0.473289334,0.024087791
Shetrunji at Lowara,21.44398,71.56131472,0.003645192,0.000475472,0.011394417,0.014921712,0.003370936,0.000272893,0.006587672,0.323576449,1.314791397,0.078791684,0.040787976,0.013423496,0.072706141,0.003343673,0.001243374,0.215232663,0.010066076
Narmada at Garudeshwar,21.88333333,73.65,0.013922831,0.004130254,0.077241076,0.064390442,0.014016946,0.00144505,0.028905831,2.31259133,3.892530092,0.494562521,0.144482449,0.07095469,0.289263719,0.012416205,0.007553924,1.028922958,0.082101576
Derol Bridge,23.57527778,72.80638889,0.001034552,0.000718423,0.024150872,0.009863782,0.002306528,0.000428727,0.005113555,0.477112133,0.724884168,0.097660928,0.00266212,0.013750696,0.045778645,0.001353465,0.000877961,0.201394504,0.014605122
Vautha,22.65027778,72.535,0.001811551,0.000307436,0.005782495,0.00072797,0.000380825,0.000177836,0.001380568,0.03883176,0.326324943,0,0.0121693,0.002430019,0.002331582,0,0.000296686,0.038850575,0
GADAT,20.85611111,72.98472222,0.002710561,0.00042386,0.006972413,0.019516425,0.003218062,0.0002074,0.005467384,0.447585139,0.539587945,0.068953573,0.017726796,0.017750378,0.034917098,0.003796583,0.001622343,0.27866304,0.00953314
Chitrasani -Duplicate,24.28888889,72.49833333,0.019201157,0.006198986,0.099232388,0.100550818,0.021033836,0.001854014,0.039381212,2.732103291,5.336373213,0.587356253,0.193822603,0.096525953,0.41805286,0.020950409,0.009299265,1.267777907,0.104476268
VAPI,20.37,72.88,0.003846332,0.000711429,0.015001901,0.023985654,0.002171726,0.000359835,0.004863791,0.521510835,1.435714892,0.113095408,0.026293715,0.007501055,0.072944796,0.003390742,0.002183089,0.268737476,0.0206347
Kamalpur,23.80833333,71.74416667,0.009853751,0.002945814,0.045899665,0.058910945,0.00940331,0.000915009,0.017692306,1.340698573,3.11775067,0.312903906,0.081828957,0.05097096,0.183700065,0.012973487,0.004192064,0.660013815,0.049356492
PINGALWADA,22.11083333,73.07861111,0.002956293,0.000542903,0.011249426,0.008960316,0.001782234,0.000114772,0.003740642,0.366055158,0.47984562,0.061221524,0.013999439,0.005677608,0.018355922,0.002128178,0.001461623,0.12522766,0.013277957
Ganod,21.66555556,70.18083333,0.022707508,0.006463282,0.109800177,0.103302436,0.021162104,0.002122472,0.041201768,3.174706315,6.557615857,0.633653298,0.192038562,0.103997462,0.420222167,0.020398346,0.009724882,1.489543549,0.101898292
MAHUWA,21.01444444,73.14027778,0.008028609,0.00233797,0.041532613,0.036262069,0.010017857,0.001071225,0.017327155,1.379214897,2.742493738,0.251188339,0.086959016,0.046295868,0.175884272,0.007826284,0.004345783,0.641477204,0.04423675
